rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents two equally weighted CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to a single product or category, reducing the clarity of the primary action.","The hero presents two equally prominent CTAs (SHOP MEN and SHOP WOMEN) that split user intent and delay the path to a single product or category, reducing the clarity of the primary action.","h1: Wildly Comfortable. Super Natural.; cta: SHOP BESTSELLERS; notes: Replace the two CTAs with a single, high-intent CTA that leads to a curated bestseller collection, reducing choice overload and focusing the user on a single next step.","Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' as primary CTAs, with no single dominant CTA; the page also shows 'Shop All' in the nav and 'Shop + -' in the cart drawer, creating multiple competing paths. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline to clarify the brand's unique selling proposition.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, leaving them to infer the value proposition.","h1: Comfortable, Sustainable Shoes for Everyday Life; cta: Shop Best Sellers; notes: Use a clear value proposition that combines comfort and sustainability, and a CTA that directs to a popular category to reduce friction.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline to clarify the brand's unique selling proposition.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,No social proof,URGENT,Homepage,Medium,2-5 days,5,10,no,trust,"The hero lacks any social proof, so first-time visitors may doubt the comfort claim and hesitate to click through.","The hero lacks any social proof, so first-time visitors may doubt the comfort claim and hesitate to click through.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.6/5 from 150,000+ reviews' or a small trust badge strip.","Hero H1: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' but no review count, rating, or testimonial visible.",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_no_social_proof.html
4,Free shipping threshold hidden,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The homepage promotes free shipping but only reveals the $100 threshold in the body copy, creating an expectation gap that may cause cart abandonment.","The homepage promotes free shipping but only reveals the $100 threshold in the body copy, creating an expectation gap that may cause cart abandonment.",h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a subtext under the hero CTA: 'Free shipping on orders over $100' to set expectations early.,"Body sample: 'Free ground shipping on orders over $100' appears in the page body, but the hero CTA 'SHOP MEN' / 'SHOP WOMEN' does not mention the threshold.",Pricing Transparency,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_4_free_shipping_threshold_hidden.html
5,Mega-menu choice overload,URGENT,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ nav items with multiple subcategories, risking choice paralysis and decision fatigue for users.","The mega-menu presents 20+ nav items with multiple subcategories, risking choice paralysis and decision fatigue for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Simplify mega-menu to top 5-7 categories, use clear hierarchy, and reduce redundant links.","nav_items list contains 20 items including 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_5_mega_menu_choice_overload.html
6,Hero CTA lacks urgency,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero section's CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic and don't leverage the new collection or urgency, potentially reducing click-through.","The hero section's CTAs 'SHOP MEN' and 'SHOP WOMEN' are generic and don't leverage the new collection or urgency, potentially reducing click-through.",h1: Wildly Comfortable. Super Natural.; cta: Shop the New Dasher NZ Collection; notes: Use a specific collection CTA to create urgency and relevance.,Hero copy: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN'. Body sample also mentions 'New Dasher NZ Collection' but it's not in the hero.,Nav & Distraction,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_6_hero_cta_lacks_urgency.html
7,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 697 KB of HTML.",Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_heavy_third_party_script_load.html
8,Hidden cost: shipping threshold,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page does not display the $5 shipping cost or the $100 free-shipping threshold, so users may be surprised at checkout, increasing cart abandonment.","The product page does not display the $5 shipping cost or the $100 free-shipping threshold, so users may be surprised at checkout, increasing cart abandonment.",h1: Anytime Ankle Sock; cta: Add to Cart; notes: Add a line near the price: 'Free shipping on orders over $100' or 'Shipping $5' to set expectations early and reduce checkout surprises.,"The homepage and collection pages show 'Free ground shipping on orders over $100' and the cart drawer shows 'Shipping $5.00', but the product page inventory for /products/anytime-ankle-sock does not include any shipping cost or threshold messaging.",Funnel-Path & Commerce Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_8_hidden_shipping_threshold.html
9,No visible guarantee,URGENT,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page lacks a visible guarantee or return policy near the price, so buyers may worry about fit and return hassle.","The product page lacks a visible guarantee or return policy near the price, so buyers may worry about fit and return hassle.",h1: Anytime Ankle Sock; cta: Get Notified; notes: Add a line under the price: 'Free 30-day returns' or '100% comfort guarantee' to reduce purchase risk.,Product page shows 'Anytime Ankle Sock' with 'Get Notified' CTA and 'Learn More' but no explicit guarantee or return policy text near the price.,Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_9_no_visible_guarantee.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_10_controls_without_accessible_names.html
